World Rank,Location,Institution,Handle,National Rank,Quality of Education,Alumni Employment,Quality of Faculty,Research Performance,Score
468,USA,University of Central Florida,UCF,131,-,1077,-,441,74.5
9,USA,University of Chicago,UChicago,7,8,18,29,22,91.1
230,USA,University of Cincinnati,uofcincy,80,499,239,-,189,78
145,USA,University of Colorado Anschutz Medical Campus,CUAnschutz,60,-,-,91,148,80.2
69,USA,University of Colorado Boulder,cuboulder,39,149,179,47,92,83.3
1907,USA,University of Colorado Colorado Springs,UCCS,345,-,-,-,1831,66.1
422,USA,University of Colorado Denver,CUDenver,119,-,-,-,399,75.1
272,USA,University of Connecticut,UConn,90,472,387,-,229,77.2
1101,USA,University of Dayton,univofdayton,238,215,129,-,1418,69.7
303,USA,University of Delaware,UDelaware,103,373,668,161,332,76.7
776,USA,University of Denver,UofDenver,183,-,181,-,854,71.8
85,USA,University of Florida,UF,47,316,497,140,57,82.5
201,USA,University of Georgia,universityofga,73,392,325,173,212,78.7
1946,USA,University of Hawaii at Hilo,UHHilo,348,-,-,-,1867,66
486,USA,University of Hawaii at Manoa,uhmanoa,137,366,1154,-,459,74.3
250,USA,University of Houston,UHouston,86,-,146,123,340,77.6
741,USA,University of Idaho,uidaho,179,-,-,-,702,72
210,USA,University of Illinois at Chicago,thisisuic,75,476,809,269,159,78.5
22,USA,University of Illinois at Urbana–Champaign,Illinois_Alma,17,23,133,12,61,87.8
143,USA,University of Iowa,uiowa,59,143,337,186,132,80.2
180,USA,University of Kansas,KUNews,66,261,390,97,224,79.2
296,USA,University of Kentucky,universityofky,99,293,525,-,257,76.8
806,USA,University of Louisiana at Lafayette,ULLafayette,190,-,-,-,764,71.5
455,USA,University of Louisville,uofl,129,-,746,-,431,74.7
686,USA,"University of Maine, Orono",UMaine,171,483,-,121,894,72.5
279,USA,"University of Maryland, Baltimore",UMBaltimore,94,-,-,-,220,77.1
692,USA,"University of Maryland, Baltimore County",UMBaltimore,172,-,-,235,736,72.4
76,USA,"University of Maryland, College Park",UofMaryland,44,113,453,130,62,82.9
156,USA,University of Massachusetts Amherst,umassamherst,62,473,264,63,209,79.8
720,USA,University of Massachusetts Boston,UMassBoston,177,-,1144,185,832,72.2
1607,USA,University of Massachusetts Dartmouth,UMassD,308,-,1166,-,1537,67.3
1121,USA,University of Massachusetts Lowell,UMassLowell,245,-,867,-,1077,69.6
276,USA,University of Massachusetts Medical School,UMassMedical,93,-,-,87,346,77.2
926,USA,University of Memphis,uofmemphis,212,-,484,-,909,70.7
215,USA,University of Miami,univmiami,77,-,248,-,172,78.4
16,USA,"University of Michigan, Ann Arbor",UMich,13,32,37,82,5,89
47,USA,University of Minnesota - Twin Cities,UMNews,28,74,308,120,28,84.9
1403,USA,University of Minnesota Duluth,UMNDuluth,280,294,1186,-,1356,68.2
443,USA,University of Mississippi,OleMissRebels,126,484,-,-,414,74.8
680,USA,University of Missouri-Kansas City,UMKC,170,467,554,-,654,72.5
1104,USA,University of Missouri-St. Louis,umsl,240,-,399,-,1099,69.7
207,USA,University of Missouri–Columbia,Mizzou,74,423,259,86,286,78.5
748,USA,University of Montana,umontana,182,273,-,-,713,72
579,USA,University of Nebraska Medical Center,unmc,157,-,-,-,538,73.4
309,USA,University of Nebraska–Lincoln,UNLincoln,105,172,395,-,285,76.6
811,USA,"University of Nevada, Las Vegas",unlv,191,-,1069,-,771,71.5
663,USA,"University of Nevada, Reno",unevadareno,167,-,1084,-,631,72.6
626,USA,University of New Hampshire,UofNH,160,-,581,-,600,73
300,USA,University of New Mexico,UNM,101,-,-,-,247,76.8
1507,USA,University of New Orleans,UofNO,295,-,-,-,1433,67.7
40,USA,University of North Carolina at Chapel Hill,UNC,25,83,105,75,33,85.5
789,USA,University of North Carolina at Charlotte,unccharlotte,187,-,610,-,760,71.7
1035,USA,University of North Carolina at Greensboro,UNCG,227,-,-,-,992,70.1
1557,USA,University of North Carolina Wilmington,UNCWilmington,299,-,-,-,1478,67.5
1196,USA,University of North Dakota,UofNorthDakota,257,-,1235,-,1135,69.2
1953,USA,University of North Florida,UofNorthFlorida,350,-,-,-,1875,66
1895,USA,University of North Texas Health Science Center,UNTHSC,343,-,-,-,1818,66.2
711,USA,"University of North Texas, Denton",UNTnews,176,-,804,-,673,72.3
161,USA,University of Notre Dame,NotreDame,63,301,36,-,284,79.7
649,USA,University of Oklahoma Health Sciences Center,OUHSC_research,165,-,-,-,619,72.8
385,USA,"University of Oklahoma, Norman",UofOklahoma,113,-,388,-,370,75.5
345,USA,University of Oregon,uoregon,109,141,-,229,386,76.1
